,x,y,z
302,1.52120123,0.53952385,-0.46047615
303,1.52622169,0.54098621,-0.45901379
304,1.53124216,0.53421921,-0.46578079
305,1.53626263,0.53753127,-0.46246873
306,1.54128309,0.54527209,-0.45472791
307,1.54630356,0.54350107,-0.45649893
308,1.55132402,0.54194007,-0.45805993
309,1.55634449,0.54840002,-0.45159998
310,1.56136496,0.55446427,-0.44553573
311,1.56638542,0.55060486,-0.44939514
312,1.57140589,0.55401379,-0.44598621
313,1.57642635,0.56106948,-0.43893052
314,1.58144682,0.56156538,-0.43843462
315,1.58646729,0.56090103,-0.43909897
316,1.59148775,0.55855414,-0.44144586
317,1.59650822,0.55590117,-0.44409883
318,1.60152869,0.57529621,-0.42470379
319,1.60654915,0.57284906,-0.42715094
320,1.61156962,0.57809885,-0.42190115
321,1.61659008,0.58689761,-0.41310239
322,1.62161055,0.59377689,-0.40622311
323,1.62663102,0.60046988,-0.39953012
324,1.63165148,0.60260655,-0.39739345
325,1.63667195,0.61138472,-0.38861528
326,1.64169241,0.61648494,-0.38351506
327,1.64671288,0.62694376,-0.37305624
328,1.65173335,0.63224909,-0.36775091
329,1.65675381,0.63329404,-0.36670596
330,1.66177428,0.64438396,-0.35561604
331,1.66679474,0.65636423,-0.34363577
332,1.67181521,0.65777379,-0.34222621
333,1.67683568,0.66563851,-0.33436149
334,1.68185614,0.67819259,-0.32180741
335,1.68687661,0.68769224,-0.31230776
336,1.69189708,0.69626163,-0.30373837
337,1.69691754,0.70484218,-0.29515782
338,1.70193801,0.71784595,-0.28215405
339,1.70695847,0.73194309,-0.26805691
340,1.71197894,0.75046529,-0.24953471
341,1.71699941,0.7639056,-0.2360944
342,1.72201987,0.77990358,-0.22009642
343,1.72704034,0.79747742,-0.20252258
344,1.7320608,0.81140725,-0.18859275
345,1.73708127,0.82283636,-0.17716364
346,1.74210174,0.8379021,-0.1620979
347,1.7471222,0.85349779,-0.14650221
348,1.75214267,0.87274743,-0.12725257
349,1.75716313,0.89181999,-0.10818001
350,1.7621836,0.90423411,-0.09576589
351,1.76720407,0.91981193,-0.08018807
352,1.77222453,0.93071095,-0.06928905
353,1.777245,0.94835836,-0.05164164
354,1.78226546,0.96449356,-0.03550644
355,1.78728593,0.98950554,-0.01049446
356,1.7923064,1.00199674,0.00199674
357,1.79732686,1.01968087,0.01968087
358,1.80234733,1.03334523,0.03334523
359,1.8073678,1.05057794,0.05057794
360,1.81238826,1.06749221,0.06749221
361,1.81740873,1.07613037,0.07613037
362,1.82242919,1.09132506,0.09132506
363,1.82744966,1.10791615,0.10791615
364,1.83247013,1.12352665,0.12352665
365,1.83749059,1.12641477,0.12641477
366,1.84251106,1.14039842,0.14039842
367,1.84753152,1.15146775,0.15146775
368,1.85255199,1.16640601,0.16640601
369,1.85757246,1.17441275,0.17441275
370,1.86259292,1.18833944,0.18833944
371,1.86761339,1.20127502,0.20127502
372,1.87263385,1.21180933,0.21180933
373,1.87765432,1.22111668,0.22111668
374,1.88267479,1.22058841,0.22058841
375,1.88769525,1.23237216,0.23237216
376,1.89271572,1.23030624,0.23030624
377,1.89773619,1.23268705,0.23268705
378,1.90275665,1.23470331,0.23470331
379,1.90777712,1.23494935,0.23494935
380,1.91279758,1.24481986,0.24481986
381,1.91781805,1.25453275,0.25453275
382,1.92283852,1.25076631,0.25076631
383,1.92785898,1.25052294,0.25052294
384,1.93287945,1.25145072,0.25145072
385,1.93789991,1.25923016,0.25923016
386,1.94292038,1.26445891,0.26445891
387,1.94794085,1.26518059,0.26518059
388,1.95296131,1.26378934,0.26378934
389,1.95798178,1.2603152,0.2603152
390,1.96300224,1.26945814,0.26945814
391,1.96802271,1.26820908,0.26820908
392,1.97304318,1.2746112,0.2746112
393,1.97806364,1.27096043,0.27096043
394,1.98308411,1.2722114,0.2722114
395,1.98810457,1.27890616,0.27890616
396,1.99312504,1.28740491,0.28740491
397,1.99814551,1.28351215,0.28351215
398,2.00316597,1.29284167,0.29284167
399,2.00818644,1.28954817,0.28954817
400,2.01320691,1.29501826,0.29501826
401,2.01822737,1.30096623,0.30096623
402,2.02324784,1.30711763,0.30711763
403,2.0282683,1.31427112,0.31427112
404,2.03328877,1.30551514,0.30551514
405,2.03830924,1.31598494,0.31598494
406,2.0433297,1.32527099,0.32527099
407,2.04835017,1.32270275,0.32270275
408,2.05337063,1.32559437,0.32559437
409,2.0583911,1.32988431,0.32988431
410,2.06341157,1.34198786,0.34198786
411,2.06843203,1.33068748,0.33068748
412,2.0734525,1.32658314,0.32658314
413,2.07847296,1.33034319,0.33034319
414,2.08349343,1.33066686,0.33066686
415,2.0885139,1.32629317,0.32629317
416,2.09353436,1.33652135,0.33652135
417,2.09855483,1.33288839,0.33288839
418,2.1035753,1.32063208,0.32063208
419,2.10859576,1.31764931,0.31764931
420,2.11361623,1.31223429,0.31223429
421,2.11863669,1.3032998,0.3032998
422,2.12365716,1.2990785,0.2990785
423,2.12867763,1.28796328,0.28796328
424,2.13369809,1.27787872,0.27787872
425,2.13871856,1.27095621,0.27095621
426,2.14373902,1.24766849,0.24766849
427,2.14875949,1.23459089,0.23459089
428,2.15377996,1.22340236,0.22340236
429,2.15880042,1.21205403,0.21205403
430,2.16382089,1.207808,0.207808
431,2.16884135,1.19284993,0.19284993
432,2.17386182,1.17288551,0.17288551
433,2.17888229,1.15833556,0.15833556
434,2.18390275,1.14652516,0.14652516
435,2.18892322,1.12585654,0.12585654
436,2.19394368,1.11690123,0.11690123
437,2.19896415,1.10548843,0.10548843
438,2.20398462,1.09403359,0.09403359
439,2.20900508,1.0833022,0.0833022
440,2.21402555,1.07550612,0.07550612
441,2.21904602,1.06068012,0.06068012
442,2.22406648,1.05200506,0.05200506
443,2.22908695,1.04246895,0.04246895
444,2.23410741,1.02175551,0.02175551
445,2.23912788,1.01152101,0.01152101
446,2.24414835,0.99737922,-0.00262078
447,2.24916881,0.98892815,-0.01107185
448,2.25418928,0.98117533,-0.01882467
449,2.25920974,0.97081527,-0.02918473
450,2.26423021,0.96017529,-0.03982471
451,2.26925068,0.94860095,-0.05139905
452,2.27427114,0.93748887,-0.06251113
453,2.27929161,0.93201218,-0.06798782
454,2.28431207,0.92598812,-0.07401188
455,2.28933254,0.91141335,-0.08858665
456,2.29435301,0.8984636,-0.1015364
457,2.29937347,0.88970242,-0.11029758
458,2.30439394,0.879879,-0.120121
459,2.30941441,0.87240331,-0.12759669
460,2.31443487,0.86570289,-0.13429711
461,2.31945534,0.86005487,-0.13994513
462,2.3244758,0.85786413,-0.14213587
463,2.32949627,0.84617788,-0.15382212
464,2.33451674,0.84217645,-0.15782355
465,2.3395372,0.83738394,-0.16261606
466,2.34455767,0.83003867,-0.16996133
467,2.34957813,0.82518698,-0.17481302
468,2.3545986,0.8195155,-0.1804845
469,2.35961907,0.82035755,-0.17964245
470,2.36463953,0.81313088,-0.18686912
471,2.36966,0.81273607,-0.18726393
472,2.37468046,0.81101417,-0.18898583
473,2.37970093,0.80161149,-0.19838851
474,2.3847214,0.79720248,-0.20279752
475,2.38974186,0.79650648,-0.20349352
476,2.39476233,0.79409806,-0.20590194
477,2.39978279,0.79122253,-0.20877747
478,2.40480326,0.78738209,-0.21261791
479,2.40982373,0.78224235,-0.21775765
480,2.41484419,0.77821632,-0.22178368
481,2.41986466,0.78161895,-0.21838105
482,2.42488513,0.77310532,-0.22689468
483,2.42990559,0.77557727,-0.22442273
484,2.43492606,0.77377255,-0.22622745
